PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
18,Set 5,CORE (DATE - Legacy),Old Date,Old Date class usage,new\s+Date\s*\(,Medium,Date/Time API,Use java.time.LocalDate: LocalDate date = LocalDate.now();,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
20,Set 5,CORE (DATE - Legacy),Calendar,Calendar usage,Calendar\.getInstance\s*\(,Medium,Date/Time API,Use LocalDateTime or ZonedDateTime,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
21,Set 5,CORE (DATE - Legacy),Timestamp,java.sql.Date/Time/Timestamp,java\.sql\.(Date|Time|Timestamp),Medium,Date/Time API,Use java.time API,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
