PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL2
58,Set 2,JSP (CODE - Usage),JSP internal/sun.* usage,sun.* usage inside JSP should be removed,\bsun\.,High,Internal APIs,Use supported JDK APIs (e.g. java.util.Base64).,Auto-Refactor,Replace internal classes with supported JDK APIs.,Low,0.25,1,247,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 1,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-InternalAPI,(blank),(blank),P017,UT017,247
23,Set 6,CORE (LANGUAGE - Naming),Underscore,Underscore as identifier (REMOVED in JDK 9+),\b_\b(?=\s*(=|;|\))),Low,Language Changes,Rename variable,Auto-Replace,Rename `_` identifier to a valid name.,Low,0.1,2,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 1,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-Language,(blank),(blank),P012,UT012,1
