PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL2
21,Set 5,CORE (DATE - Legacy),Timestamp,java.sql.Date/Time/Timestamp,java\.sql\.(Date|Time|Timestamp),Medium,Date/Time API,Use java.time API,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,6,4830,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-JavaTime,(blank),(blank),P010,UT010,4830
20,Set 5,CORE (DATE - Legacy),Calendar,Calendar usage,Calendar\.getInstance\s*\(,Medium,Date/Time API,Use LocalDateTime or ZonedDateTime,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,4,168,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-JavaTime,(blank),(blank),P009,UT009,168
18,Set 5,CORE (DATE - Legacy),Old Date,Old Date class usage,new\s+Date\s*\(,Medium,Date/Time API,Use java.time.LocalDate: LocalDate date = LocalDate.now();,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,5,1001,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-JavaTime,(blank),(blank),P007,UT007,1001
