PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL2
22,Set 6,CORE (LANGUAGE - Generics),Raw List,Raw types (pre-generics),\b(List|Set|Map|Collection|ArrayList|HashMap|HashSet)\b\s+[A-Za-z_]\w*\s*=\s*(?!new\s+\1\s*<),Low,Generics,Use generics: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,13,25025,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 4,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-Language,(blank),(blank),P011,UT011,25025
24,Set 6,CORE (LANGUAGE - Generics),DiamondOperator,Diamond operator missing,new\s+(ArrayList|HashMap|HashSet|LinkedList)<[^>]+>\s*\(\s*\)(?!\s*;),Low,Generics,Add diamond operator: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,12,7,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 4,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New API ?,to verify runtime - New API ?,Dual-Safe-Language,(blank),(blank),P013,UT013,7
